what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.systemconsole.designs.plugin,14.0.0.200,"com.altera.systemconsole.designs.plugin",1449468761561
started,bundle,com.altera.utilities,14.0.0.200,"com.altera.utilities",1449468761561
os,sysinfo,,,"win32",1449468761561
arch,sysinfo,,,"x86_64",1449468761561
ws,sysinfo,,,"win32",1449468761561
locale,sysinfo,,,"en_US",1449468761561
processors,sysinfo,,,"8",1449468761561
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1449468761561
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1449468761561
java.specification.name,sysinfo,,,"Java Platform API Specification",1449468761561
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1449468761561
java.specification.version,sysinfo,,,"1.6",1449468761561
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1449468761561
java.version,sysinfo,,,"1.6.0_23",1449468761561
java.vm.info,sysinfo,,,"mixed mode",1449468761561
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1449468761561
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1449468761561
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1449468761561
java.vm.specification.version,sysinfo,,,"1.0",1449468761561
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1449468761561
java.vm.version,sysinfo,,,"19.0-b09",1449468761561
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1449468767862
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1449468767902
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1449468767912
started,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1449468767912
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1449468767932
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449468768022
opened,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1449468769952
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1449468770312
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1449468770312
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1449468770312
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1449468770312
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1449468770322
error,log,,,"Failed Executing: [nios2-download, '--cable=DE-SoC on localhost [USB-1]', --device=2, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1449468771972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449468791343
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1449468795623
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1449468796013
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449468796403
error,log,,,"Failed Executing: [nios2-download, '--cable=DE-SoC on localhost [USB-1]', --device=2, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1449468798033
