what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449793909512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449793915426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449793917137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449793921229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449793921268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449793929014
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1449793931486
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1449793931632
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1449793932358
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1449793932399
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1449793932401
started,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1449793932404
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1449793932427
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449793932535
error,log,,,"Unable to validate connection settings.",1449793938880
error,log,,,"Unable to validate connection settings.",1449793938892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449793938922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449793948985
started,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.200,"com.altera.debug.cdi.gdb.plugin",1449793953703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449793954091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449793958045
opened,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1449793959379
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1449793959669
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1449793959673
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1449793959674
